lexid,first_name,last_name,ssn,dob,age,gender
8888090684,Cy,Hrinchenko,300-08-4045,14-11-1948,75,Male
8888090685,Kiley,Lemin,593-57-7368,10-05-1996,27,Male
8888090686,Seth,Cheek,410-02-4121,17-07-2008,15,Male
8888090687,Britteny,Goodliffe,446-62-5324,24-08-1968,55,Female
8888090688,Clevey,Basek,760-68-9717,20-03-1966,57,Male
8888090689,Costanza,Berwick,327-82-4883,08-04-1988,35,Female
8888090690,Petr,Windows,434-32-1772,10-08-1996,27,Male
8888090691,Kala,Toseland,155-45-5688,26-03-1993,30,Female
8888090692,Robbie,Luparto,275-35-4159,15-08-1953,70,Female
8888090693,Samantha,Pritchitt,277-34-8028,21-10-2009,14,Female
8888090694,Addi,Worssam,617-34-7666,18-03-1974,49,Female
8888090695,Maribel,Bilbee,337-02-2661,01-12-1959,64,Female
8888090696,Thomasine,Balsillie,688-46-0672,11-07-1950,73,Female
8888090697,Cello,Bencher,102-77-9844,07-12-1955,68,Male
8888090698,Velma,Giurio,242-58-5714,14-04-1955,68,Female
8888090699,Mitch,Frayling,681-37-6461,10-06-2003,20,Male
8888090700,Ramsay,Furmage,819-71-0164,11-06-1952,71,Male
8888090701,Dory,Grand,286-31-0632,24-02-1995,28,Female
8888090702,Laura,Bernhart,346-11-4059,03-05-1971,52,Female
8888090703,Anselma,Sprakes,528-77-1061,11-11-1967,56,Female
8888090704,Joaquin,Bulluck,854-43-4119,03-04-2003,20,Male
8888090705,Leola,Stonnell,142-76-4060,20-05-1948,75,Female
8888090706,Emalee,Berard,427-51-4212,15-04-1970,53,Female
8888090707,Xena,Maykin,280-22-8111,22-03-1960,63,Female
8888090708,Shayna,Kedie,505-58-6791,18-06-2000,23,Female
8888090709,Skippie,Liddell,421-60-2841,20-08-1982,41,Male
8888090710,Al,Moiser,543-13-6823,04-11-1974,49,Male
8888090711,Misti,Peet,177-42-0877,22-12-1946,77,Female
8888090712,Robina,Antos,427-51-1379,18-02-1974,49,Female
8888090713,Emmanuel,Burdge,237-03-9528,17-12-1969,54,Male
8888090714,Christabella,Tomblett,815-61-5315,03-04-1994,29,Female
8888090715,Sharyl,Stollmeyer,277-01-7299,04-02-1970,53,Female
8888090716,Haily,Mills,659-10-9979,29-11-2007,16,Male
8888090717,Stern,Sollas,218-82-6526,26-08-1958,65,Male
8888090718,Roslyn,Leamon,800-06-6929,18-04-1967,56,Female
8888090719,Kendal,Maidment,588-61-8791,14-01-1956,67,Male
8888090720,Mayor,Neillans,575-52-8203,12-07-2001,22,Male
8888090721,Ron,Deverell,383-46-0132,12-09-1962,61,Male
8888090722,Rivkah,Summerly,832-43-1617,11-09-2004,19,Female
8888090723,Carly,Agett,864-79-0514,19-10-1963,60,Female
8888090724,Lorens,Tirone,372-03-1748,13-06-1957,66,Male
8888090725,Hedwig,Trafford,596-79-0247,26-06-1995,28,Female
8888090726,Ardene,Dikes,646-16-5575,03-05-1993,30,Female
8888090727,Johnny,Matyatin,248-75-9535,21-02-1974,49,Male
8888090728,Amery,Pape,652-86-6329,05-01-1975,48,Male
8888090729,Noam,Demkowicz,798-95-6841,17-08-1949,74,Male
8888090730,Sada,Jery,886-20-9401,14-01-1982,41,Female
8888090731,Shelby,Brown,656-02-9465,11-07-1976,47,Female
8888090732,Loraine,Dixey,487-75-7637,31-01-1996,27,Female
8888090733,Madelene,Yakunin,846-24-5089,17-12-1997,26,Female
8888090734,Quinta,Ryce,811-46-8263,02-01-1950,73,Female
8888090735,Agnola,Motte,371-76-7896,09-04-1991,32,Female
8888090736,Leonhard,Matresse,706-15-9052,01-08-1944,79,Male
8888090737,Willyt,Willoughby,699-40-8484,12-05-1991,32,Female
8888090738,Dominick,Bewicke,127-45-5801,15-10-1959,64,Male
8888090739,Eberhard,Crudginton,695-52-9328,10-06-1956,67,Male
8888090740,Hagan,Padula,811-16-5518,22-02-2003,20,Male
8888090741,Tamqrah,Holywell,781-99-4773,27-12-1960,63,Female
8888090742,Celie,Luciani,288-31-4074,24-04-1997,26,Female
8888090743,Veronike,Rentenbeck,801-43-5132,02-02-1982,41,Female
8888090744,Fax,Spadeck,353-70-1950,03-01-1999,24,Male
8888090745,Antoine,Willett,780-78-0308,19-08-1944,79,Male
8888090746,Danya,Bullion,518-67-9124,19-03-2001,22,Male
8888090747,Kennedy,Howison,447-18-7047,29-06-1959,64,Male
8888090748,Jeremias,Mapother,228-81-9436,09-11-1986,37,Male
8888090749,Ava,Titchen,674-93-0610,23-05-1976,47,Female
8888090750,Ilario,Fearnehough,734-47-7283,21-09-1954,69,Male
8888090751,Leann,Vannikov,690-77-7261,23-07-1966,57,Female
8888090752,Ky,Cowdroy,823-40-2470,17-11-1967,56,Male
8888090753,Dickie,Seppey,443-19-7721,30-12-1971,52,Male
8888090754,Delainey,Mogridge,227-29-2834,15-02-1951,72,Male
8888090755,Willis,Ripper,529-59-3566,20-02-1996,27,Male
8888090756,Phillipe,Mugridge,501-70-5554,22-09-1991,32,Male
8888090757,Delphine,Axe,393-37-5749,01-01-1960,63,Female
8888090758,Mercedes,Betonia,391-01-2450,12-04-2002,21,Female
8888090759,Lesley,Warburton,862-86-9041,01-03-1985,38,Female
8888090760,Kayle,Caitlin,364-83-2307,08-03-1966,57,Female
8888090761,Wolfgang,Trowl,726-29-7943,30-06-1997,26,Male
8888090762,Bertina,Oswald,810-06-3726,27-02-1981,42,Female
8888090763,Dorey,Avraam,255-96-9165,12-02-1997,26,Male
8888090764,Dorian,Rothman,260-77-9017,10-04-1990,33,Female
8888090765,Bambie,Larose,316-02-7694,12-04-2008,15,Female
8888090766,Tiff,Kime,512-08-5377,01-05-1992,31,Female
8888090767,Mia,Olyfat,317-79-3744,10-02-1989,34,Female
8888090768,Mendy,Guisot,254-63-6115,14-07-1982,41,Male
8888090769,Joletta,Ianni,196-20-7295,09-11-1978,45,Female
8888090770,Merl,Berget,643-16-5596,17-08-1996,27,Female
8888090771,Rowen,Redford,311-91-4490,15-03-1988,35,Male
8888090772,Nathanial,Shore,506-37-0636,06-07-1998,25,Male
8888090773,Madella,Sutherby,223-43-7008,29-12-1965,58,Female
8888090774,Fayth,Jeckells,240-16-7219,18-12-1996,27,Female
8888090775,Brenn,Bogies,557-46-7750,10-10-1984,39,Female
8888090776,Kylie,Blakelock,620-24-9120,29-09-1997,26,Female
8888090777,Percy,Arnull,871-91-6106,18-01-1990,33,Male
8888090778,Thoma,Lafrentz,278-17-7700,27-05-1996,27,Male
8888090779,Kayla,Tieraney,799-50-4813,27-03-1947,76,Female
8888090780,Wynne,Lukasik,884-57-9194,31-07-1975,48,Female
8888090781,Windham,Ivanishchev,603-41-0184,12-09-1984,39,Male
8888090782,Boycie,Michieli,541-47-4425,21-08-1943,80,Male
8888090783,Guenna,Hurtic,116-39-6469,14-07-1992,31,Female
8888090784,Alfie,Campo,469-71-9546,07-07-2009,14,Female
8888090785,Alisander,Rome,884-87-1784,14-08-2001,22,Male
8888090786,Danita,Rowet,856-74-3076,22-01-1966,57,Female
8888090787,Skippie,Kemston,787-77-0078,19-02-1978,45,Male
8888090788,Lovell,Kunneke,404-35-0174,05-11-1980,43,Male
8888090789,Karel,Pedler,635-19-7148,22-12-2009,14,Female
8888090790,Claudia,Dickens,313-51-3926,01-01-1984,39,Female
8888090791,Amberly,Croysdale,182-10-9954,04-05-2005,18,Female
8888090792,Nonna,Deniskevich,747-95-2300,11-08-1998,25,Female
8888090793,Clovis,Lapish,236-02-1250,29-03-1999,24,Female
8888090794,Batsheva,Drydale,123-53-5471,27-07-1946,77,Female
8888090795,Borden,Bikker,288-26-1393,04-01-2001,22,Male
8888090796,Peder,Wenderott,169-88-7542,08-11-1970,53,Male
8888090797,Rochester,Scholard,686-92-9871,10-07-1949,74,Male
8888090798,Hendrika,Pettett,885-15-8479,24-08-1951,72,Female
8888090799,Cris,Yerrill,383-45-9649,28-03-1990,33,Male
8888090800,Andrej,Ulster,106-68-8856,10-08-1993,30,Male
8888090801,Wyndham,Otter,270-33-8805,11-08-1979,44,Male
8888090802,Abeu,Sartain,467-04-6876,24-05-1967,56,Male
8888090803,Gradey,Compford,649-42-9714,11-04-1952,71,Male
8888090804,Madeline,Lepper,454-37-2996,28-10-1966,57,Female
8888090805,Benjie,Oade,631-80-5723,17-10-1996,27,Male
8888090806,Lorrie,Buncher,605-18-6604,12-06-2000,23,Male
8888090807,Marti,Jakobsson,523-36-7306,07-01-1950,73,Female
8888090808,Libbi,Jellicorse,682-95-6183,23-11-2001,22,Female
8888090809,Berkeley,Binyon,221-84-8838,31-12-1957,66,Male
8888090810,Adah,Igounet,410-07-2939,04-10-1999,24,Female
8888090811,Anna-diana,Piggford,607-46-0758,31-03-1990,33,Female
8888090812,Janene,McGrudder,698-06-7802,12-10-2003,20,Female
8888090813,Beltran,Apfler,446-07-5742,05-04-1986,37,Male
8888090814,Lexine,Behnke,244-15-1883,13-09-1965,58,Female
8888090815,Yehudi,Summerhayes,460-44-0833,29-09-2000,23,Male
8888090816,Chandler,Davydenko,177-61-0519,31-05-1970,53,Male
8888090817,Lora,Burkett,471-21-4870,28-11-1980,43,Female
8888090818,Dionysus,Cufley,679-07-1508,28-09-1989,34,Male
8888090819,Kendal,Benediktovich,515-36-2775,09-11-1989,34,Male
8888090820,Wolfy,Wotton,166-98-5554,21-06-1962,61,Male
8888090821,Jeremiah,Stevenson,591-17-7656,30-04-1958,65,Male
8888090822,Fayina,Meneyer,184-85-1340,22-01-2005,18,Female
8888090823,Dwain,Smaling,678-93-3255,16-09-2006,17,Male
8888090824,Welbie,Holsey,371-94-4625,10-11-1946,77,Male
8888090825,Shawn,Nesfield,786-74-2649,25-12-2004,19,Male
8888090826,Ly,Rippon,253-94-4659,25-09-1994,29,Male
8888090827,Clyde,Flea,669-36-9984,19-09-1940,83,Male
8888090828,Jerrie,Baudrey,167-12-9371,19-04-1960,63,Male
8888090829,Josselyn,Rummins,219-16-4625,28-03-1970,53,Female
8888090830,Inge,Audenis,262-04-8566,13-12-1976,47,Female
8888090831,Wilhelm,Salter,547-71-0962,09-05-2008,15,Male
8888090832,Koo,Aylmer,360-88-2480,02-10-1979,44,Female
8888090833,Redford,Seldon,825-38-5958,13-07-1986,37,Male
8888090834,Roze,Tindall,128-07-5106,08-12-2005,18,Female
8888090835,Buckie,Imlach,642-24-5621,25-08-1975,48,Male
8888090836,Patricio,Sutor,248-85-0417,15-09-1982,41,Male
8888090837,Jerome,Eltune,465-03-5579,24-06-1991,32,Male
8888090838,Livia,Utley,745-60-2220,21-01-1983,40,Female
8888090839,Abagael,Buye,140-52-7492,11-12-1968,55,Female
8888090840,Ethel,Duck,128-65-3809,09-12-2004,19,Female
8888090841,Ignacio,Lory,541-88-0048,29-05-1982,41,Male
8888090842,Farley,Gerram,151-63-2883,15-02-2001,22,Male
8888090843,Jeno,Fiddy,315-09-2931,16-01-1977,46,Male
8888090844,Delmer,Littledyke,278-36-1799,01-06-1948,75,Male
8888090845,Valry,Nelligan,821-99-9718,14-06-1941,82,Female
8888090846,Kirbie,Schankel,202-37-1144,02-10-1973,50,Female
8888090847,Perle,Fearey,458-65-3223,24-02-1995,28,Female
8888090848,Noni,Yaakov,224-44-0694,21-06-1979,44,Female
8888090849,Chicky,Heaven,131-53-0867,02-05-2007,16,Male
8888090850,Marilyn,Clemence,754-28-1945,29-09-1987,36,Female
8888090851,Aldrich,Pawlick,661-60-3759,28-08-2000,23,Male
8888090852,Mehetabel,Wisham,663-56-0917,01-05-1988,35,Female
8888090853,Gil,Adshede,547-42-3806,13-04-1964,59,Male
8888090854,Riobard,Lothlorien,630-87-1409,08-03-1968,55,Male
8888090855,Eachelle,Ricarde,419-23-8314,14-03-2003,20,Female
8888090856,Patton,Petracco,350-67-9460,18-10-1948,75,Male
8888090857,Jacklyn,Matuszak,341-04-1767,19-05-1942,81,Female
8888090858,Osbourne,Sykes,435-37-7453,09-04-1979,44,Male
8888090859,Caz,Pratley,146-26-3196,14-02-2006,17,Male
8888090860,Mignonne,Kapelhof,581-77-5930,20-07-1993,30,Female
8888090861,Bobby,MacTeague,875-94-3859,22-12-1988,35,Male
8888090862,Aubree,Jickells,296-84-8260,12-04-1964,59,Female
8888090863,Alejoa,Turrell,118-07-5889,28-11-1965,58,Male
8888090864,Kristina,Adran,809-68-9039,26-10-1967,56,Female
8888090865,Ingeberg,Fewings,178-03-8429,02-11-1942,81,Female
8888090866,Brendis,Siley,859-26-5610,11-10-1983,40,Male
8888090867,Laurianne,Lamminam,432-06-8688,22-09-1949,74,Female
8888090868,Shepard,Vanyatin,809-95-0521,13-04-1980,43,Male
8888090869,Nickola,Pottberry,252-82-4775,22-07-1998,25,Male
8888090870,Regan,Bolle,805-64-1408,19-10-2002,21,Female
8888090871,Roarke,Thwaites,364-25-8158,04-10-1962,61,Male
8888090872,Arlan,Vaughten,760-07-4785,18-03-1957,66,Male
8888090873,Chris,Diplock,550-90-6259,01-08-1953,70,Female
8888090874,Rufus,Vanelli,227-29-3055,12-02-1969,54,Male
8888090875,Nil,Handaside,557-38-2842,12-10-1958,65,Male
8888090876,Cole,Townson,756-76-0556,31-10-2006,17,Male
8888090877,Chadwick,Lightowler,113-79-8762,16-07-1976,47,Male
8888090878,Tucky,Lofty,784-27-3106,25-05-2001,22,Male
8888090879,Krystal,Bantick,660-24-9700,16-01-1956,67,Female
8888090880,Fanni,Kynsey,329-06-3659,08-07-1953,70,Female
8888090881,Opalina,Meysham,552-02-7147,29-07-1991,32,Female
8888090882,Art,Mitchelmore,617-89-3880,26-04-1973,50,Male
8888090883,Derek,Redfern,888-15-8518,18-12-1980,43,Male
8888090884,Charis,Magor,540-79-8995,21-12-2007,16,Female
8888090885,Bernardina,Clapton,260-13-4022,03-08-1971,52,Female
8888090886,Tuckie,Nolder,347-44-8144,29-12-1940,83,Male
8888090887,Kettie,Harlick,229-03-2910,07-10-2003,20,Female
8888090888,Shaina,Myhan,145-68-6728,30-01-1963,60,Female
8888090889,Sandy,Margrett,422-06-5752,14-01-1941,82,Male
8888090890,Celene,Rainon,338-80-1531,06-10-1964,59,Female
8888090891,Liesa,Behnecken,105-73-7894,14-08-1981,42,Female
8888090892,Pietra,Forten,335-08-6347,24-04-1978,45,Female
8888090893,Judah,Gabitis,776-53-4998,03-10-2001,22,Male
8888090894,Gracia,Fosken,783-22-5023,28-10-1990,33,Female
8888090895,Vasilis,Drissell,118-28-8298,26-03-1964,59,Male
8888090896,Thedrick,Ratchford,598-39-3575,22-01-1955,68,Male
8888090897,Hymie,Ibert,739-34-3047,13-06-1973,50,Male
8888090898,Gonzalo,Stainton,463-09-0401,31-07-1972,51,Male
8888090899,Mallory,Smiley,763-04-8857,02-02-1954,69,Male
8888090900,Giana,Jahnel,684-70-3308,24-01-2000,23,Female
8888090901,Kevon,Bascomb,738-08-5307,12-12-1965,58,Male
8888090902,Danni,Gudger,164-37-0092,30-08-1974,49,Female
8888090903,Gretchen,Ciccarello,184-14-9816,09-07-2009,14,Female
8888090904,Shandee,Ruggiero,418-68-2792,26-04-1987,36,Female
8888090905,Rutherford,Pierce,520-15-6465,14-06-1993,30,Male
8888090906,Torrie,Maleck,332-06-0062,04-09-1976,47,Female
8888090907,Eda,Ruilton,298-53-6729,13-06-1955,68,Female
8888090908,Cathi,Presdie,148-91-6699,30-11-1982,41,Female
8888090909,Johny,MacCartney,397-08-4348,11-04-1976,47,Male
8888090910,Malchy,Tarbatt,409-15-0964,01-06-1983,40,Male
8888090911,Janos,Jimes,395-10-9442,13-06-1970,53,Male
8888090912,Juanita,Bainbridge,506-06-3639,31-03-1980,43,Female
8888090913,Henri,Rotlauf,252-74-7364,27-11-1987,36,Male
8888090914,Osbert,Jeannin,709-27-3211,04-07-1990,33,Male
8888090915,Nixie,Yetton,427-60-1986,22-10-2000,23,Female
8888090916,Peggie,Westerman,158-01-2883,27-07-1977,46,Female
8888090917,Paloma,Scolli,186-72-5990,23-01-2004,19,Female
8888090918,Tova,Nulty,424-36-6295,27-12-1965,58,Female
8888090919,Davidde,Mattes,237-96-9338,28-09-1942,81,Male
8888090920,Corbet,Chazette,717-45-0819,24-01-2009,14,Male
8888090921,Felecia,Klaas,235-46-6066,16-07-1965,58,Female
8888090922,Stanislas,Coatman,652-07-2809,04-02-1956,67,Male
8888090923,Ole,Coniff,560-57-5495,14-06-1976,47,Male
8888090924,Camile,Carverhill,891-99-8394,23-12-1970,53,Female
8888090925,Athena,Selwyne,239-25-9625,02-03-1988,35,Female
8888090926,Marlane,Spurge,147-87-1778,26-02-1952,71,Female
8888090927,Vi,Roundtree,829-74-6602,06-07-1957,66,Female
8888090928,Ollie,Clearley,306-59-8675,23-06-1953,70,Female
8888090929,Ilysa,Bodle,448-33-5964,29-06-1985,38,Female
8888090930,Nevins,Greschke,404-57-3051,22-09-2008,15,Male
8888090931,Jordanna,Jagiela,867-88-7276,10-05-1990,33,Female
8888090932,Lucky,Gravey,474-08-6273,25-07-1987,36,Female
8888090933,Carmelita,Tench,465-82-9053,01-11-1980,43,Female
8888090934,Sybyl,Kingsford,805-62-7721,04-07-1994,29,Female
8888090935,Tobe,Janek,379-12-0658,09-08-1989,34,Female
8888090936,Haze,Pershouse,619-12-1818,24-12-2000,23,Male
